"city","population","total_billed_gallons","US_census_region","Climate_region","Annual.precipitation","Annual.max.temperature","Annual.vapor.pressure.deficit","Family.income.2010","GDP.per.capita.2016","Total.housing.units","Percent.single.family.houses","Percent.medium.density.houses","Percent.high.density.houses","Percent.housing.units.built.1990.or.later","Percent.housing.units.built.between.1950.1989","Percent.housing.units.built.before.1950","Percent.housing.units.built.earlier.to.1990","Median.rooms","Percent.impervious.area","Area.open.NLCD","Area.low.development.NLCD","Area.medium.development.NLCD","Area.high.development.NLCD","Service.area.sq.meters","Pop.density","Water.percap"
"Steamboat Springs, Colorado",12084,30413666.6666667,"West","Continental",54.2,12.78333333,13.175,78865,56940,9868,27.1,45.6,22.2,59.1,45.7,4.4,50.1,4.1,15.4,989.6,1067.1,568.7,196.1,25645000,0.000471202963540651,2516.85424252455
"Tacoma, Washington",329009,1535992155.25,"West","Temperate",87.61666667,15.55,9.125,58870,78170,89453,62.2,24.1,13.3,20,44.4,34.9,79.3,5.2,33.9,9924.7,19297.8,17630.3,7818.5,308855000,0.00106525392174321,4668.54145403317
"Thomasville, Georgia",18501,147325339.916667,"South","Temperate",112.075,25.825,18.41666667,43098,48029,9051,71.7,25.9,1.4,25.5,50.6,19.9,70.5,5.4,18.5,3071.3,1669.2,826.3,538.4,39220300,0.000471720002141748,7963.1014494712
"Tucson, Arizona",673011,2714305386.58333,"West","Arid",23.89166667,28.36666667,35.3,47348,32472,236808,53.4,27.5,12.5,26.2,64.2,8.1,72.3,4.7,19.2,28146.5,57044.3,30644.5,7217.6,1013990000,0.000663725480527421,4033.07729975191
"Tyler, Texas",101946,643126333.333333,"South","Temperate",97.91666667,24.66666667,18.91666667,54547,65015,42127,63,27.8,7.3,29.5,57.6,9.8,67.4,5.2,26.6,7704.8,17698.6,8520.1,4072.1,242824000,0.000419834942180345,6308.49992479679
"Vacaville, California",95607,343659187.666667,"West","Temperate",52.33333333,23.81666667,21.60833333,82586,63635,33812,71.1,20,5.3,33.2,64.8,1.9,66.7,5.8,31.5,2065.8,2426.2,5576.7,1458.9,75751300,0.00126211695376845,3594.49818179283
"Vancouver, Washington",247290,709911543.466667,"West","Temperate",93.69166667,16.89166667,11.24166667,56658,62715,71670,53.1,32.4,12,40.4,48.3,9.8,58.1,5,39.7,3655,13970.2,13731,4466.1,183475000,0.00134781305354953,2870.76526938682
"Vernal, Utah",10681,55706500,"West","Arid",19.7,15.91666667,17.05833333,57092,48111,4439,50,36.1,3.5,34.7,56.8,6.4,63.2,5.1,31.1,391.8,1082.4,570.8,175,11987100,0.000891041202626156,5215.47607901882
"Watertown, New York",25709,83928903.6666667,"Northeast","Continental",89.03333333,12.91666667,8.758333333,46718,46412,13162,42.1,46.1,10.7,6.7,33.9,58.4,92.3,5.3,32.4,897.1,1387.7,1509.9,490.1,24313500,0.00105739609681864,3264.57286034722
"Wichita Falls, Texas",140000,476230656,"South","Continental",62.44166667,24.425,22.65,50819,41032,43224,69.3,22.7,4.6,19.8,62.2,17,79.2,5.2,4,22335.6,15116.6,9015.1,3969.9,1577050000,8.87733426333978e-05,3401.64754285714
"Wichita, Kansas",469908,1340784271.91667,"Midwest","Temperate",72.26666667,19.85,16.31666667,57963,46583,169732,68.5,21.4,7.1,25.2,55.5,18.8,74.3,5.6,12.9,20926,48564.6,18160.8,8403.2,1193750000,0.000393640209424084,2853.29100997784
"Winston-Salem, North Carolina",238474,944532344.883333,"South","Temperate",93.39166667,20.8,15.63333333,53364,37311,106239,61.9,29.5,6.2,29.7,57.6,12.8,70.4,5.3,11.1,59163,25231.4,10168.1,4392.7,840641000,0.000283681143318016,3960.73511109527
